country,code,year,percent_migrant,percent_f_migrant,total_refugees,total_pop,percent_refugees,immigrants,emigrants,net_migration
Afghanistan,4,1990,0.5,43.6,25,12.412308,0.04,50671,6823350,-545.64
Albania,8,1990,2,53.7,3000,3.286073,4.56,58703,180284,-37
Algeria,12,1990,1.1,45.2,169107,25.758869,59.68,258623,921727,-25.74
American Samoa,16,1990,45,47.5,0,0.047347,0,20486,2041,389.57
Andorra,20,1990,71.3,46,0,0.054509,0,38137,3792,630.08
Angola,24,1990,0.3,45.9,12000,11.848386,33.76,27759,824942,-67.28
Antigua & Barbuda,28,1990,19.2,52,0,0.062528,0,11204,21753,-168.71
Azerbaijan,31,1990,5,56.2,,7.242761,,357078,1634081,-176.31
Argentina,32,1990,5.1,52.2,12185,32.618651,0.73,1565392,430169,34.8
Australia,36,1990,23.3,49.1,97915,16.960597,2.48,3948318,303696,214.89
Austria,40,1990,10.3,53.6,37172,7.723949,4.67,793239,506088,37.18
Bahamas,44,1990,10.5,48.5,0,0.256223,0,25319,25182,0.53
Bahrain,48,1990,34.9,29.1,1780,0.495931,1.03,170701,12820,318.35
Bangladesh,50,1990,0.9,46,73,103.171956,0.01,741548,5451831,-45.65
Armenia,51,1990,18.6,58.9,,3.538171,,564662,899649,-94.68
Barbados,52,1990,9.2,58.1,0,0.260936,0,18452,84931,-254.77
Belgium,56,1990,12.8,48.9,25721,10.006544,2.01,1254663,365360,88.87
Bermuda,60,1990,25.4,51.8,0,0.061634,0,15030,71702,-919.49
Bhutan,64,1990,4.5,18.5,0,0.530804,0,21982,28465,-12.21
Bolivia,68,1990,1.1,49.1,235,6.864842,0.31,72706,224693,-22.14
Bosnia & Herzegovina,70,1990,1.3,52.6,,4.463423,,54542,861766,-180.85
Botswana,72,1990,2.1,39.6,1220,1.286756,4.51,25829,26053,-0.17
Brazil,76,1990,0.5,46.6,5333,149.003223,0.72,770323,500392,1.81
Belize,84,1990,16.2,46.1,30404,0.187552,100.07,29314,36117,-36.27
Solomon Islands,90,1990,1.4,44.4,0,0.311866,0,3925,2212,5.49
British Virgin Islands,92,1990,45.9,48.6,0,0.017489,0,7516,3094,252.84
